Time,Channel,OrigBytes,CompressedBytes,SentBytes
2021-06-07 06:47:01.453304,1044,264,748,748
2021-06-07 06:47:01.453319,1043,264,748,748
2021-06-07 06:47:01.453332,1042,264,748,748
2021-06-07 06:47:01.453345,1014,381737,60271,60271
2021-06-07 06:47:01.453358,1011,393041,61742,61742
2021-06-07 06:47:01.453371,1022,70309,12285,12285
2021-06-07 06:47:01.453383,1061,5799,1734,1734
2021-06-07 06:47:01.453396,1012,393671,61995,61995
2021-06-07 06:47:01.453408,1023,73951,12877,12877
2021-06-07 06:47:01.453421,5001,396184,39058,39058
2021-06-07 06:47:01.453433,10,94749,14064,14064
2021-06-07 06:47:01.453445,1034,864471,62435,62435
2021-06-07 06:47:01.453458,1033,868497,64537,64537
2021-06-07 06:47:01.453470,1041,264,748,748
2021-06-07 06:47:01.453483,3011,429,913,913
2021-06-07 06:47:01.453496,3001,594,1001,1001
2021-06-07 06:47:01.453508,2,288,392,392
2021-06-07 06:47:01.453520,1051,407803,93404,93404
2021-06-07 06:47:01.453533,1024,84403,14100,14100
2021-06-07 06:47:01.453545,4001,1100,3300,3300
2021-06-07 06:47:01.453557,1013,385519,61701,61701
2021-06-07 06:47:01.453570,1,1889765,286566,286566
2021-06-07 06:47:01.453582,1032,864975,62882,62882
2021-06-07 06:47:01.453594,1031,868467,62409,62409
2021-06-07 06:47:01.453606,1021,67681,12121,12121
2021-06-07 06:47:01.453619,10001,576615,53475,53475
2021-06-07 06:47:01.453641,0,0,0,1046254
2021-06-07 06:50:01.537673,1044,552,1564,1564
2021-06-07 06:50:01.537688,1043,552,1564,1564
2021-06-07 06:50:01.537700,1042,552,1564,1564
2021-06-07 06:50:01.537713,1014,697334,111831,111831
2021-06-07 06:50:01.537725,1011,717974,114135,114135
2021-06-07 06:50:01.537737,1022,128469,22754,22754
2021-06-07 06:50:01.537750,1061,10948,3671,3671
2021-06-07 06:50:01.537763,1012,719127,114773,114773
2021-06-07 06:50:01.537776,1023,135131,23935,23935
2021-06-07 06:50:01.537788,5001,792374,73081,73081
2021-06-07 06:50:01.537801,10,188516,28519,28519
2021-06-07 06:50:01.537815,1034,1595978,117505,117505
2021-06-07 06:50:01.537828,1033,1603380,119563,119563
2021-06-07 06:50:01.537840,1041,552,1564,1564
2021-06-07 06:50:01.537852,3011,897,1909,1909
2021-06-07 06:50:01.537865,3001,1242,2093,2093
2021-06-07 06:50:01.537877,2,648,885,885
2021-06-07 06:50:01.537890,1051,897087,203699,203699
2021-06-07 06:50:01.537903,1024,154101,26610,26610
2021-06-07 06:50:01.537915,4001,2420,7260,7260
2021-06-07 06:50:01.537927,1013,704230,113864,113864
2021-06-07 06:50:01.537940,1,3780846,636493,636493
2021-06-07 06:50:01.537960,1032,1596897,117711,117711
2021-06-07 06:50:01.537973,1031,1603356,117502,117502
2021-06-07 06:50:01.537985,1021,123634,22759,22759
2021-06-07 06:50:01.537998,10001,925140,87810,87810
